"sensor_id","pm25","co2_ppm","ts"
"SEN-0001",38.773,505.011,2026-01-01 09:30:00.000000Z
"SEN-0001",36.181,545.649,2026-01-01 09:45:00.000000Z
"SEN-0001",36.354,546.972,2026-01-01 10:00:00.000000Z
"SEN-0001",39.595,552.425,2026-01-01 10:15:00.000000Z
"SEN-0001",44.38,557.884,2026-01-01 10:30:00.000000Z
"SEN-0001",39.736,551,2026-01-01 10:45:00.000000Z
"SEN-0001",41.93,579.402,2026-01-01 11:00:00.000000Z
"SEN-0001",41.239,532.723,2026-01-01 11:15:00.000000Z
"SEN-0001",42.123,553.843,2026-01-01 11:30:00.000000Z
"SEN-0001",40.325,561.333,2026-01-01 11:45:00.000000Z
"SEN-0001",41.601,609.727,2026-01-01 12:00:00.000000Z
"SEN-0001",42.098,612.326,2026-01-01 12:15:00.000000Z
"SEN-0001",43.094,605.156,2026-01-01 12:30:00.000000Z
"SEN-0001",43.383,527.052,2026-01-01 12:45:00.000000Z
"SEN-0001",42.677,590.656,2026-01-01 13:00:00.000000Z
"SEN-0001",40.318,588.653,2026-01-01 13:15:00.000000Z
"SEN-0001",46.958,604.244,2026-01-01 13:30:00.000000Z
"SEN-0001",43.323,614.648,2026-01-01 13:45:00.000000Z
"SEN-0001",44.356,624.79,2026-01-01 14:00:00.000000Z
"SEN-0001",48.853,595.669,2026-01-01 14:15:00.000000Z
"SEN-0001",47.364,559.628,2026-01-01 14:30:00.000000Z
"SEN-0001",42.799,594.969,2026-01-01 14:45:00.000000Z
"SEN-0001",42.152,556.823,2026-01-01 15:00:00.000000Z
"SEN-0001",41.468,591.57,2026-01-01 15:15:00.000000Z
"SEN-0001",43.171,601.049,2026-01-01 15:30:00.000000Z
"SEN-0001",42.145,576.582,2026-01-01 15:45:00.000000Z
"SEN-0001",47.738,555.263,2026-01-01 16:00:00.000000Z
"SEN-0001",42.878,551.706,2026-01-01 16:15:00.000000Z
"SEN-0001",43.371,567.882,2026-01-01 16:30:00.000000Z
"SEN-0001",39.821,537.61,2026-01-01 16:45:00.000000Z
"SEN-0001",42.789,578.824,2026-01-01 17:00:00.000000Z
"SEN-0001",39.83,543.945,2026-01-01 17:15:00.000000Z
"SEN-0001",40.169,533.792,2026-01-01 17:30:00.000000Z
"SEN-0001",42.474,511.537,2026-01-01 17:45:00.000000Z
"SEN-0001",38.656,529.167,2026-01-01 18:00:00.000000Z
"SEN-0001",37.948,529.478,2026-01-01 18:15:00.000000Z
"SEN-0001",40.204,524.628,2026-01-01 18:30:00.000000Z
"SEN-0001",37.72,486.218,2026-01-01 18:45:00.000000Z
"SEN-0001",39.205,484.96,2026-01-01 19:00:00.000000Z
"SEN-0001",35.399,518.429,2026-01-01 19:15:00.000000Z
"SEN-0001",34.16,485.335,2026-01-01 19:30:00.000000Z
"SEN-0001",36.659,460.208,2026-01-01 19:45:00.000000Z
"SEN-0001",33.746,435.077,2026-01-01 20:00:00.000000Z
"SEN-0001",32.919,443.482,2026-01-01 20:15:00.000000Z
"SEN-0001",32.088,426.126,2026-01-01 20:30:00.000000Z
"SEN-0001",30.896,431.715,2026-01-01 20:45:00.000000Z
"SEN-0001",34.604,365.283,2026-01-01 21:00:00.000000Z
"SEN-0001",33.446,442.914,2026-01-01 21:15:00.000000Z
"SEN-0001",29.776,409.282,2026-01-01 21:30:00.000000Z
"SEN-0001",30.977,377.741,2026-01-01 21:45:00.000000Z
"SEN-0001",26.308,412.954,2026-01-01 22:00:00.000000Z
"SEN-0001",29.578,375.428,2026-01-01 22:15:00.000000Z
"SEN-0001",29.799,360.037,2026-01-01 22:30:00.000000Z
"SEN-0001",23.687,390.1,2026-01-01 22:45:00.000000Z
"SEN-0001",28.529,355.143,2026-01-01 23:00:00.000000Z
"SEN-0001",27.499,384.581,2026-01-01 23:15:00.000000Z
"SEN-0001",29.082,384.187,2026-01-01 23:30:00.000000Z
"SEN-0001",24.324,370.676,2026-01-01 23:45:00.000000Z
"SEN-0002",14.891,358.58,2026-01-01 00:00:00.000000Z
"SEN-0002",16.678,328.739,2026-01-01 00:15:00.000000Z
"SEN-0002",16.572,311.721,2026-01-01 00:30:00.000000Z
"SEN-0002",12.57,322.754,2026-01-01 00:45:00.000000Z
"SEN-0002",14.975,357.474,2026-01-01 01:00:00.000000Z
"SEN-0002",16.267,329.416,2026-01-01 01:15:00.000000Z
"SEN-0002",12.765,325.606,2026-01-01 01:30:00.000000Z
"SEN-0002",19.964,356.441,2026-01-01 01:45:00.000000Z
"SEN-0002",16.348,285.523,2026-01-01 02:00:00.000000Z
"SEN-0002",15.375,298.092,2026-01-01 02:15:00.000000Z
"SEN-0002",13.902,304.662,2026-01-01 02:30:00.000000Z
"SEN-0002",16.861,300.14,2026-01-01 02:45:00.000000Z
"SEN-0002",18.663,297.423,2026-01-01 03:00:00.000000Z
"SEN-0002",14.999,314.114,2026-01-01 03:15:00.000000Z
"SEN-0002",13.954,326.077,2026-01-01 03:30:00.000000Z
"SEN-0002",16.374,306.021,2026-01-01 03:45:00.000000Z
"SEN-0002",14.072,341.17,2026-01-01 04:00:00.000000Z
"SEN-0002",16.263,309.383,2026-01-01 04:15:00.000000Z
"SEN-0002",15.756,354.234,2026-01-01 04:30:00.000000Z
"SEN-0002",17.017,354.007,2026-01-01 04:45:00.000000Z
"SEN-0002",18.426,402.975,2026-01-01 05:00:00.000000Z
"SEN-0002",16.377,385.944,2026-01-01 05:15:00.000000Z
"SEN-0002",15.813,363.618,2026-01-01 05:30:00.000000Z
"SEN-0002",19.768,348.739,2026-01-01 05:45:00.000000Z
"SEN-0002",19.868,406.61,2026-01-01 06:00:00.000000Z
"SEN-0002",17.954,360.864,2026-01-01 06:15:00.000000Z
"SEN-0002",19.223,402.263,2026-01-01 06:30:00.000000Z
"SEN-0002",21.015,413.508,2026-01-01 06:45:00.000000Z
"SEN-0002",14.695,405.972,2026-01-01 07:00:00.000000Z
"SEN-0002",20.225,419.775,2026-01-01 07:15:00.000000Z
"SEN-0002",23.379,447.673,2026-01-01 07:30:00.000000Z
"SEN-0002",19.134,455.531,2026-01-01 07:45:00.000000Z
"SEN-0002",21.06,415.218,2026-01-01 08:00:00.000000Z
"SEN-0002",21.721,454.432,2026-01-01 08:15:00.000000Z
"SEN-0002",21.926,446.536,2026-01-01 08:30:00.000000Z
"SEN-0002",21.721,459.745,2026-01-01 08:45:00.000000Z
"SEN-0002",20.697,496.816,2026-01-01 09:00:00.000000Z
"SEN-0002",22.361,510.179,2026-01-01 09:15:00.000000Z
"SEN-0002",23.964,514.244,2026-01-01 09:30:00.000000Z
"SEN-0002",21.57,530.568,2026-01-01 09:45:00.000000Z
"SEN-0002",24.95,521.289,2026-01-01 10:00:00.000000Z
"SEN-0002",24.776,497.804,2026-01-01 10:15:00.000000Z
"SEN-0002",26.626,511.732,2026-01-01 10:30:00.000000Z
"SEN-0002",24.64,553.393,2026-01-01 10:45:00.000000Z
"SEN-0002",24.741,563.367,2026-01-01 11:00:00.000000Z
"SEN-0002",29.741,553.368,2026-01-01 11:15:00.000000Z
"SEN-0002",26.111,542.077,2026-01-01 11:30:00.000000Z
"SEN-0002",24.904,545.113,2026-01-01 11:45:00.000000Z
"SEN-0002",28.902,548.027,2026-01-01 12:00:00.000000Z
"SEN-0002",26.269,571.658,2026-01-01 12:15:00.000000Z
"SEN-0002",25.304,578.005,2026-01-01 12:30:00.000000Z
"SEN-0002",28.089,579.235,2026-01-01 12:45:00.000000Z
"SEN-0002",24.986,577.965,2026-01-01 13:00:00.000000Z
"SEN-0002",29.007,554.286,2026-01-01 13:15:00.000000Z
"SEN-0002",28.485,551.956,2026-01-01 13:30:00.000000Z
"SEN-0002",25.131,566.042,2026-01-01 13:45:00.000000Z
"SEN-0002",30.032,566.607,2026-01-01 14:00:00.000000Z
"SEN-0002",25.679,611.124,2026-01-01 14:15:00.000000Z
"SEN-0002",28.185,585.155,2026-01-01 14:30:00.000000Z
"SEN-0002",30.035,619.216,2026-01-01 14:45:00.000000Z
"SEN-0002",26.746,596.91,2026-01-01 15:00:00.000000Z
"SEN-0002",26.191,600.89,2026-01-01 15:15:00.000000Z
"SEN-0002",24.196,566.028,2026-01-01 15:30:00.000000Z
"SEN-0002",27.525,586.255,2026-01-01 15:45:00.000000Z
"SEN-0002",25.982,566.87,2026-01-01 16:00:00.000000Z
"SEN-0002",23.975,550.302,2026-01-01 16:15:00.000000Z
"SEN-0002",23.77,565.795,2026-01-01 16:30:00.000000Z
"SEN-0002",24.337,535.594,2026-01-01 16:45:00.000000Z
"SEN-0002",25.123,517.317,2026-01-01 17:00:00.000000Z
"SEN-0002",26.323,525.811,2026-01-01 17:15:00.000000Z
"SEN-0002",26.411,530.095,2026-01-01 17:30:00.000000Z
"SEN-0002",24.596,527.899,2026-01-01 17:45:00.000000Z
"SEN-0002",24.18,540.611,2026-01-01 18:00:00.000000Z
"SEN-0002",24.301,485.202,2026-01-01 18:15:00.000000Z
"SEN-0002",26.57,487.504,2026-01-01 18:30:00.000000Z
"SEN-0002",23.452,522.655,2026-01-01 18:45:00.000000Z
"SEN-0002",21.859,479.156,2026-01-01 19:00:00.000000Z
"SEN-0002",22.519,445.493,2026-01-01 19:15:00.000000Z
"SEN-0002",18.974,455.678,2026-01-01 19:30:00.000000Z
"SEN-0002",19.615,466.836,2026-01-01 19:45:00.000000Z
"SEN-0002",18.008,431.983,2026-01-01 20:00:00.000000Z
"SEN-0002",21.193,430.709,2026-01-01 20:15:00.000000Z
"SEN-0002",21.32,456.918,2026-01-01 20:30:00.000000Z
"SEN-0002",19.535,409.865,2026-01-01 20:45:00.000000Z
"SEN-0002",17.162,393.413,2026-01-01 21:00:00.000000Z
"SEN-0002",17.142,377.685,2026-01-01 21:15:00.000000Z
"SEN-0002",19.649,381.427,2026-01-01 21:30:00.000000Z
"SEN-0002",21.587,413.444,2026-01-01 21:45:00.000000Z
"SEN-0002",21.105,371.313,2026-01-01 22:00:00.000000Z
"SEN-0002",15.038,369.905,2026-01-01 22:15:00.000000Z
"SEN-0002",17.974,380.063,2026-01-01 22:30:00.000000Z
"SEN-0002",14.361,426.321,2026-01-01 22:45:00.000000Z
"SEN-0002",16.461,353.178,2026-01-01 23:00:00.000000Z
"SEN-0002",14.71,333.043,2026-01-01 23:15:00.000000Z
"SEN-0002",16.333,366.736,2026-01-01 23:30:00.000000Z
"SEN-0002",16.247,328.059,2026-01-01 23:45:00.000000Z
"SEN-0003",14.151,376.946,2026-01-01 00:00:00.000000Z
"SEN-0003",9.34,421.058,2026-01-01 00:15:00.000000Z
"SEN-0003",12.587,372.23,2026-01-01 00:30:00.000000Z
"SEN-0003",11.119,353.953,2026-01-01 00:45:00.000000Z
"SEN-0003",14.462,400.772,2026-01-01 01:00:00.000000Z
"SEN-0003",9.283,395.063,2026-01-01 01:15:00.000000Z
"SEN-0003",10.855,357.758,2026-01-01 01:30:00.000000Z
"SEN-0003",14.048,357.053,2026-01-01 01:45:00.000000Z
"SEN-0003",12.551,356.264,2026-01-01 02:00:00.000000Z
"SEN-0003",9.915,348.801,2026-01-01 02:15:00.000000Z
"SEN-0003",7.97,355.216,2026-01-01 02:30:00.000000Z
"SEN-0003",14.579,409.36,2026-01-01 02:45:00.000000Z
"SEN-0003",10.695,393.55,2026-01-01 03:00:00.000000Z
"SEN-0003",13.082,393.26,2026-01-01 03:15:00.000000Z
"SEN-0003",12.273,420.77,2026-01-01 03:30:00.000000Z
"SEN-0003",11.033,417.199,2026-01-01 03:45:00.000000Z
"SEN-0003",14.206,409.648,2026-01-01 04:00:00.000000Z
"SEN-0003",12.957,390.647,2026-01-01 04:15:00.000000Z
"SEN-0003",12.879,420.17,2026-01-01 04:30:00.000000Z
"SEN-0003",11.292,403.859,2026-01-01 04:45:00.000000Z
"SEN-0003",9.737,460.205,2026-01-01 05:00:00.000000Z
"SEN-0003",9.947,446.829,2026-01-01 05:15:00.000000Z
"SEN-0003",16.319,433.341,2026-01-01 05:30:00.000000Z
"SEN-0003",11.409,469.805,2026-01-01 05:45:00.000000Z
"SEN-0003",15.378,486.216,2026-01-01 06:00:00.000000Z
"SEN-0003",13.613,477.893,2026-01-01 06:15:00.000000Z
"SEN-0003",16.401,485.744,2026-01-01 06:30:00.000000Z
"SEN-0003",16.636,517.807,2026-01-01 06:45:00.000000Z
"SEN-0003",17.401,503.158,2026-01-01 07:00:00.000000Z
"SEN-0003",18.981,509.297,2026-01-01 07:15:00.000000Z
"SEN-0003",15.333,518.528,2026-01-01 07:30:00.000000Z
"SEN-0003",19.322,540.6,2026-01-01 07:45:00.000000Z
"SEN-0003",20.534,542.712,2026-01-01 08:00:00.000000Z
"SEN-0003",15.035,538.398,2026-01-01 08:15:00.000000Z
"SEN-0003",20.659,559.458,2026-01-01 08:30:00.000000Z
"SEN-0003",18.258,578.46,2026-01-01 08:45:00.000000Z
"SEN-0003",22,559.701,2026-01-01 09:00:00.000000Z
"SEN-0003",18.777,579.261,2026-01-01 09:15:00.000000Z
"SEN-0003",19.477,629.002,2026-01-01 09:30:00.000000Z
"SEN-0003",18.987,595.924,2026-01-01 09:45:00.000000Z
"SEN-0003",19.094,619.326,2026-01-01 10:00:00.000000Z
"SEN-0003",20.144,625.914,2026-01-01 10:15:00.000000Z
"SEN-0003",20.127,648.056,2026-01-01 10:30:00.000000Z
"SEN-0003",23.085,671.757,2026-01-01 10:45:00.000000Z
"SEN-0003",19.176,655.839,2026-01-01 11:00:00.000000Z
"SEN-0003",24.436,619.87,2026-01-01 11:15:00.000000Z
"SEN-0003",23.063,626.954,2026-01-01 11:30:00.000000Z
"SEN-0003",22.623,696.062,2026-01-01 11:45:00.000000Z
"SEN-0003",23.078,688.17,2026-01-01 12:00:00.000000Z
"SEN-0003",21.778,659.773,2026-01-01 12:15:00.000000Z
"SEN-0003",25.555,646.862,2026-01-01 12:30:00.000000Z
"SEN-0003",22.925,702.653,2026-01-01 12:45:00.000000Z
"SEN-0003",23.293,711.482,2026-01-01 13:00:00.000000Z
"SEN-0003",24.47,672.442,2026-01-01 13:15:00.000000Z
"SEN-0003",22.836,685.16,2026-01-01 13:30:00.000000Z
"SEN-0003",21.919,739.593,2026-01-01 13:45:00.000000Z
"SEN-0003",20.713,708.92,2026-01-01 14:00:00.000000Z
"SEN-0003",23.935,704.969,2026-01-01 14:15:00.000000Z
"SEN-0003",26.386,720.81,2026-01-01 14:30:00.000000Z
"SEN-0003",24.226,671.891,2026-01-01 14:45:00.000000Z
"SEN-0003",26.903,682.59,2026-01-01 15:00:00.000000Z
"SEN-0003",25.157,700.64,2026-01-01 15:15:00.000000Z
"SEN-0003",22.942,708.659,2026-01-01 15:30:00.000000Z
"SEN-0003",19.532,726.003,2026-01-01 15:45:00.000000Z
"SEN-0003",21.324,708.194,2026-01-01 16:00:00.000000Z
"SEN-0003",20.139,683.012,2026-01-01 16:15:00.000000Z
"SEN-0003",19.001,694.396,2026-01-01 16:30:00.000000Z
"SEN-0003",20.185,667.858,2026-01-01 16:45:00.000000Z
"SEN-0003",22.215,669.237,2026-01-01 17:00:00.000000Z
"SEN-0003",19.263,635.48,2026-01-01 17:15:00.000000Z
"SEN-0003",17.676,633.427,2026-01-01 17:30:00.000000Z
"SEN-0003",17.551,636.564,2026-01-01 17:45:00.000000Z
"SEN-0003",19.085,644.583,2026-01-01 18:00:00.000000Z
"SEN-0003",20.214,585.977,2026-01-01 18:15:00.000000Z
"SEN-0003",17.123,579.835,2026-01-01 18:30:00.000000Z
"SEN-0003",17.201,585.516,2026-01-01 18:45:00.000000Z
"SEN-0003",20.926,613.297,2026-01-01 19:00:00.000000Z
"SEN-0003",18.118,590.699,2026-01-01 19:15:00.000000Z
"SEN-0003",15.709,589.72,2026-01-01 19:30:00.000000Z
"SEN-0003",18.069,529.071,2026-01-01 19:45:00.000000Z
"SEN-0003",19.924,546.147,2026-01-01 20:00:00.000000Z
"SEN-0003",15.734,523.657,2026-01-01 20:15:00.000000Z
"SEN-0003",16.681,512.564,2026-01-01 20:30:00.000000Z
"SEN-0003",13.36,507.397,2026-01-01 20:45:00.000000Z
"SEN-0003",16.547,491.176,2026-01-01 21:00:00.000000Z
"SEN-0003",13.391,521.672,2026-01-01 21:15:00.000000Z
"SEN-0003",15.578,471.188,2026-01-01 21:30:00.000000Z
"SEN-0003",16.658,453.552,2026-01-01 21:45:00.000000Z
"SEN-0003",16.786,448.621,2026-01-01 22:00:00.000000Z
"SEN-0003",17.075,476.453,2026-01-01 22:15:00.000000Z
"SEN-0003",15.328,440.697,2026-01-01 22:30:00.000000Z
"SEN-0003",16.112,448.472,2026-01-01 22:45:00.000000Z
"SEN-0003",14.897,422.534,2026-01-01 23:00:00.000000Z
"SEN-0003",15.297,456.25,2026-01-01 23:15:00.000000Z
"SEN-0003",16.305,423.182,2026-01-01 23:30:00.000000Z
"SEN-0003",16.93,409.963,2026-01-01 23:45:00.000000Z
"SEN-0004",16.844,464.143,2026-01-01 00:00:00.000000Z
"SEN-0004",9.326,397.498,2026-01-01 00:15:00.000000Z
"SEN-0004",16.608,422.864,2026-01-01 00:30:00.000000Z
"SEN-0004",13.019,452.371,2026-01-01 00:45:00.000000Z
"SEN-0004",11.718,433.391,2026-01-01 01:00:00.000000Z
"SEN-0004",9.381,433.848,2026-01-01 01:15:00.000000Z
"SEN-0004",14.153,413.272,2026-01-01 01:30:00.000000Z
"SEN-0004",10.04,424.837,2026-01-01 01:45:00.000000Z
"SEN-0004",14.034,415.185,2026-01-01 02:00:00.000000Z
"SEN-0004",13.06,421.942,2026-01-01 02:15:00.000000Z
"SEN-0004",12.168,414.685,2026-01-01 02:30:00.000000Z
"SEN-0004",17.536,424.584,2026-01-01 02:45:00.000000Z
"SEN-0004",11.757,444.532,2026-01-01 03:00:00.000000Z
"SEN-0004",16.017,432.432,2026-01-01 03:15:00.000000Z
"SEN-0004",12.683,435.78,2026-01-01 03:30:00.000000Z
"SEN-0004",12.978,430.066,2026-01-01 03:45:00.000000Z
"SEN-0004",13.061,428.958,2026-01-01 04:00:00.000000Z
"SEN-0004",15.306,440.492,2026-01-01 04:15:00.000000Z
"SEN-0004",12.566,447.615,2026-01-01 04:30:00.000000Z
"SEN-0004",15.584,436.421,2026-01-01 04:45:00.000000Z
"SEN-0004",17.438,457.833,2026-01-01 05:00:00.000000Z
"SEN-0004",13.392,470.274,2026-01-01 05:15:00.000000Z
"SEN-0004",16.565,491.188,2026-01-01 05:30:00.000000Z
"SEN-0004",14.706,508.546,2026-01-01 05:45:00.000000Z
"SEN-0004",17.206,472.95,2026-01-01 06:00:00.000000Z
"SEN-0004",17.772,548.397,2026-01-01 06:15:00.000000Z
